timestamp,total_pkr
2026-01-29T14:22:07.612798,2507.33
2026-01-29T14:22:11.533238,2507.33
2026-01-29T14:23:21,2507.33
2026-01-29T14:24:44,2507.33
2026-01-29T14:31:07,3007.33
2026-01-29T14:40:24,2807.33
2026-01-29T14:42:53,2626.26
2026-01-29T14:45:06,2304.23
2026-01-29T14:47:20,1404.23
2026-01-29T14:48:53,2439.23
2026-01-29T14:50:46,3474.23
2026-01-29T15:00:01,1474.23
2026-01-29T16:00:01,1474.23
2026-01-29T17:00:01,12675.23
2026-01-29T18:00:02,12675.23
2026-01-29T19:00:01,12675.23
2026-01-29T22:00:02,12675.23
2026-01-29T23:00:01,12675.23
2026-01-30T00:00:01,12675.23
2026-01-30T13:00:01,12675.23
2026-01-30T14:00:02,12675.23
